artist,song
harry styles,as it was
jack harlow,first class
cat burns,go
aitch/ashanti,baby
dave,starlight
fireboy dml & ed sheeran,peru
bad boy chiller crew,bmw
camila cabello ft ed sheeran,bam bam
jax jones ft mnek,where did you go
belters only ft jazzy,make me feel good
luude ft colin hay,down under
potter payper/tiggs da author,gangsteritus
ed sheeran,2step
mimi webb,house on fire
george ezra,anyone for you
tate mcrae,she's all i wanna be
lauren spencer-smith,flowers
david guetta/hill/henderson,crazy what love can do
a1 & j1/tion wayne,night away (dance)
tiesto & ava max,the motto
kid laroi,thousand miles
ed sheeran,bad habits
lost frequencies/calum scott,where are you now
russ millions/buni/yv,one of a kind music pts reggae & calypso
joel corry/david guetta/tiller,what would you do
glass animals,heat waves
charlie puth,light switch
becky hill/galantis,run
ed sheeran,shivers
leah kate,10 things i hate about you
dylan conrique,birthday cake
sam fender,seventeen going under
latto/mariah carey/dj khaled,big energy
liilz ft ziezie,glad u came
vibe chemistry,balling
sigala,melody
tyga & doja cat,freaky deaky
acraze ft cherish,do it to it
em beihold,numb little bug
elton john & dua lipa,cold heart
diplo & miguel,don't forget my love
wilkinson & issey cross,used to this
elley duhe,middle of the night
gaitan/castillo/adassa/feliz,we don't talk about bruno
ruth b,dandelions
george ezra,green green grass
tom grennan,remind me
lil tjay,in my head
dod & carla monroe,still sleepless
cian ducrot,all for you
gayle,abcdefu
adele,easy on me
arrdee,come & go
lil baby,in a minute
kid laroi & justin bieber,stay
sigrid & bring me the horizon,bad life
digga d,hold it down
pinkpantheress ft willow,where you are
benzz,je m'appelle
mabel/jax jones/galantis,good luck
weeknd,save your tears
shawn mendes,when you're gone
pheelz & bnxn,finesse
olivia rodrigo,good 4 u
killers,mr brightside
clean bandit ft a7s,everything but you
lizzo,about damn time
megan thee stallion & dua lipa,sweetest pie
d-block europe ft central cee,overseas
dove cameron,boyfriend
venbee & dan fable,low down
justin bieber,ghost
regard/years & years,hallucination
tom odell,another love
wanted,gold forever
imagine dragons/jid/league of,enemy
dua lipa,levitating
lauren spencer-smith,fingers crossed
dave ft stormzy,clash
pusha t ft kanye west,dreamin of the past
florence & the machine,my love
guerrero/beatriz,what else can i do
harry styles,watermelon sugar
weeknd,blinding lights
jessica darrow,surface pressure
doja cat,woman
disclosure & raye,waterfall
taylor swift,the lakes
becky hill & david guetta,remember
wilkinson & becky hill,here for you
lil nas x & jack harlow,industry baby
belters only ft jazzy,don't stop just yet
knucks & sl,nice & good
eminem,without me
goo goo dolls,iris
wet leg,chaise longue
eminem,the real slim shady
pusha t/kanye west/kid cudi,rock n roll
dave ft burna boy,location
lewis capaldi,someone you loved
